year,<1300cc,1300cc - 1900cc,>1900cc
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2003,7191,2467,1563
2003,5196,2038,811
2003,9037,4631,1581
2003,15201,9165,2522
2003,15869,12823,2692
2003,16262,19110,3845
2003,15192,25240,4311
2003,19130,33997,5802
2003,23232,37824,6878
2003,32938,51282,6487
2003,42359,60366,7795
2003,37096,67691,10149
2003,52180,77635,9770
2003,73682,102462,12741
2003,40665,77086,12992
2003,32205,72347,13083
2003,29464,68187,9117
2004,7226,2846,1732
2004,5112,2820,1196
2004,9726,5839,1912
2004,10849,8850,2042
2004,13704,15858,3258
2004,13174,21725,3834
2004,17507,30712,5339
2004,22113,35786,6533
2004,31989,49645,6337
2004,41721,59293,7716
2004,37083,67392,10022
2004,52519,77969,9851
2004,73779,102554,12783
2004,40732,76388,12913
2004,32523,72314,13147
2004,30488,69795,9237
2004,27963,75759,9210
2004,7226,2846,1732
2004,5112,2820,1196
2004,9726,5839,1912
2004,10849,8850,2042
2004,13704,15858,3258
2004,13174,21725,3834
2004,17507,30712,5339
2004,22113,35786,6533
2004,31989,49645,6337
2004,41721,59293,7716
2004,37083,67392,10022
2004,52519,77969,9851
2004,73779,102554,12783
2004,40732,76388,12913
2004,32523,72314,13147
2004,30488,69795,9237
2004,27963,75759,9210
2004,7226,2846,1732
2004,5112,2820,1196
2004,9726,5839,1912
2004,10849,8850,2042
2004,13704,15858,3258
2004,13174,21725,3834
2004,17507,30712,5339
2004,22113,35786,6533
2004,31989,49645,6337
2004,41721,59293,7716
2004,37083,67392,10022
2004,52519,77969,9851
2004,73779,102554,12783
2004,40732,76388,12913
2004,32523,72314,13147
2004,30488,69795,9237
2004,27963,75759,9210
2004,7226,2846,1732
2004,5112,2820,1196
2004,9726,5839,1912
2004,10849,8850,2042
2004,13704,15858,3258
2004,13174,21725,3834
2004,17507,30712,5339
2004,22113,35786,6533
