year,<1300cc,1300cc - 1900cc,>1900cc
1998,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1999,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
2000,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
2001,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
2002,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
2003,"[29464, 32205, 40665, 73682, 52180, 37096, 42359, 32938, 23232, 19130, 15192, 16262, 15869, 15201, 9037, 5196, 7191]","[68187, 72347, 77086, 102462, 77635, 67691, 60366, 51282, 37824, 33997, 25240, 19110, 12823, 9165, 4631, 2038, 2467]","[9117, 13083, 12992, 12741, 9770, 10149, 7795, 6487, 6878, 5802, 4311, 3845, 2692, 2522, 1581, 811, 1563]"
1988,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1989,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1990,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1991,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1992,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1993,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1994,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1995,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1996,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1997,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1998,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
1999,"[27963, 30488, 32523, 40732, 73779, 52519, 37083, 41721, 31989, 22113, 17507, 13174, 13704, 10849, 9726, 5112, 7226]","[75759, 69795, 72314, 76388, 102554, 77969, 67392, 59293, 49645, 35786, 30712, 21725, 15858, 8850, 5839, 2820, 2846]","[9210, 9237, 13147, 12913, 12783, 9851, 10022, 7716, 6337, 6533, 5339, 3834, 3258, 2042, 1912, 1196, 1732]"
